Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
5,2,SUFW,WBSC,2,NHHE,0,0,0,0
5,2,SUFW,WBSC,2,REWA,1,0,0,0
5,2,SUFW,WBSC,2,EASP,1,0,0,0
5,2,SUFW,WBSC,2,BRTH,0,0,0,0
5,2,SUFW,WBSC,2,CRRO,0,0,0,0
5,2,SUFW,WBSC,2,PICU,1,0,0,0
7,3,CRRO,NA,1,WBSC,1,0,0,0
7,3,CRRO,NA,1,SUFW,1,0,0,0
7,3,CRRO,NA,1,NHHE,1,0,1,1
7,3,CRRO,NA,1,REWA,1,0,0,0
7,3,CRRO,NA,1,EASP,1,0,0,0
7,3,CRRO,NA,1,BRTH,0,0,0,0
7,3,CRRO,NA,1,CRRO,1,1,1,1
7,3,CRRO,NA,1,PICU,1,0,0,0
1,3,NHHE,NHHE,1,WBSC,1,1,0,0
1,3,NHHE,NHHE,1,SUFW,1,0,0,0
1,3,NHHE,NHHE,1,NHHE,1,1,1,1
1,3,NHHE,NHHE,1,REWA,1,0,0,0
1,3,NHHE,NHHE,1,EASP,1,1,0,0
1,3,NHHE,NHHE,1,BRTH,1,1,0,0
1,3,NHHE,NHHE,1,CRRO,1,0,0,0
1,3,NHHE,NHHE,1,PICU,1,0,0,0
6,3,REWA,REWA,1,WBSC,1,0,1,0
6,3,REWA,REWA,1,SUFW,0,0,0,0
6,3,REWA,REWA,1,NHHE,0,0,0,0
6,3,REWA,REWA,1,REWA,1,0,0,1
6,3,REWA,REWA,1,EASP,1,1,0,0
6,3,REWA,REWA,1,BRTH,1,1,0,0
6,3,REWA,REWA,1,CRRO,1,0,0,0
6,3,REWA,REWA,1,PICU,1,0,0,0
2,3,SUFW,SUFW,1,WBSC,0,0,0,0
2,3,SUFW,SUFW,1,SUFW,1,1,1,1
2,3,SUFW,SUFW,1,NHHE,0,0,0,0
2,3,SUFW,SUFW,1,REWA,1,0,1,0
2,3,SUFW,SUFW,1,EASP,1,1,0,0
2,3,SUFW,SUFW,1,BRTH,0,0,0,0
2,3,SUFW,SUFW,1,CRRO,0,0,0,0
2,3,SUFW,SUFW,1,PICU,1,0,0,0
8,3,WBSC,WBSC,1,WBSC,1,1,1,1
8,3,WBSC,WBSC,1,SUFW,1,0,0,0
8,3,WBSC,WBSC,1,NHHE,0,0,0,0
8,3,WBSC,WBSC,1,REWA,1,0,1,0
8,3,WBSC,WBSC,1,EASP,1,1,0,0
8,3,WBSC,WBSC,1,BRTH,0,0,0,0
8,3,WBSC,WBSC,1,CRRO,1,0,0,0
8,3,WBSC,WBSC,1,PICU,1,0,0,0
4,3,NHHE,REWA,1,WBSC,0,0,0,0
4,3,NHHE,REWA,1,SUFW,0,0,0,0
4,3,NHHE,REWA,1,NHHE,1,0,0,1
4,3,NHHE,REWA,1,REWA,1,1,1,1
4,3,NHHE,REWA,1,EASP,1,0,0,0
4,3,NHHE,REWA,1,BRTH,0,0,0,0
4,3,NHHE,REWA,1,CRRO,1,0,0,0
4,3,NHHE,REWA,1,PICU,1,0,0,0
10,3,NHHE,SUFW,1,WBSC,1,1,1,1
10,3,NHHE,SUFW,1,SUFW,1,0,0,1
10,3,NHHE,SUFW,1,NHHE,1,1,0,1
10,3,NHHE,SUFW,1,REWA,1,0,0,0
10,3,NHHE,SUFW,1,EASP,1,0,0,0
10,3,NHHE,SUFW,1,BRTH,0,0,0,0
10,3,NHHE,SUFW,1,CRRO,1,0,0,0
10,3,NHHE,SUFW,1,PICU,1,1,0,0
9,3,NHHE,WBSC,1,WBSC,1,1,1,0
9,3,NHHE,WBSC,1,SUFW,0,0,0,0
9,3,NHHE,WBSC,1,NHHE,1,1,0,1
9,3,NHHE,WBSC,1,REWA,1,0,0,0
9,3,NHHE,WBSC,1,EASP,1,1,0,0
9,3,NHHE,WBSC,1,BRTH,0,0,0,0
9,3,NHHE,WBSC,1,CRRO,0,0,0,0
9,3,NHHE,WBSC,1,PICU,1,1,0,0
5,3,REWA,SUFW,1,WBSC,1,1,1,1
5,3,REWA,SUFW,1,SUFW,1,1,0,0
5,3,REWA,SUFW,1,NHHE,0,0,0,0
5,3,REWA,SUFW,1,REWA,1,0,0,0
5,3,REWA,SUFW,1,EASP,1,1,0,0
5,3,REWA,SUFW,1,BRTH,0,0,0,0
5,3,REWA,SUFW,1,CRRO,1,0,0,0
5,3,REWA,SUFW,1,PICU,1,1,0,1
11,3,REWA,WBSC,1,WBSC,1,0,0,0
11,3,REWA,WBSC,1,SUFW,1,1,1,0
11,3,REWA,WBSC,1,NHHE,0,0,0,0
11,3,REWA,WBSC,1,REWA,1,0,0,0
11,3,REWA,WBSC,1,EASP,1,0,0,0
11,3,REWA,WBSC,1,BRTH,0,0,0,0
11,3,REWA,WBSC,1,CRRO,1,1,0,0
11,3,REWA,WBSC,1,PICU,1,1,1,0
3,3,SUFW,WBSC,1,WBSC,1,0,1,0
3,3,SUFW,WBSC,1,SUFW,1,1,1,1
3,3,SUFW,WBSC,1,NHHE,0,0,0,0
3,3,SUFW,WBSC,1,REWA,1,0,0,0
3,3,SUFW,WBSC,1,EASP,1,1,0,0
3,3,SUFW,WBSC,1,BRTH,1,1,1,0
3,3,SUFW,WBSC,1,CRRO,0,0,0,0
3,3,SUFW,WBSC,1,PICU,0,0,0,0
4,3,CRRO,NA,2,WBSC,1,0,0,0
4,3,CRRO,NA,2,SUFW,0,0,0,0
4,3,CRRO,NA,2,NHHE,0,0,0,0
4,3,CRRO,NA,2,REWA,1,0,0,0
4,3,CRRO,NA,2,EASP,1,1,0,0
4,3,CRRO,NA,2,BRTH,0,0,0,0
4,3,CRRO,NA,2,CRRO,1,0,0,0
4,3,CRRO,NA,2,PICU,1,0,0,0
3,3,NHHE,NHHE,2,WBSC,1,0,1,1
3,3,NHHE,NHHE,2,SUFW,1,1,0,0
3,3,NHHE,NHHE,2,NHHE,0,0,0,0
3,3,NHHE,NHHE,2,REWA,1,0,0,0
3,3,NHHE,NHHE,2,EASP,1,1,0,0
3,3,NHHE,NHHE,2,BRTH,0,0,0,0
3,3,NHHE,NHHE,2,CRRO,1,0,0,0
3,3,NHHE,NHHE,2,PICU,1,0,0,0
10,3,REWA,REWA,2,WBSC,1,0,0,1
10,3,REWA,REWA,2,SUFW,1,0,0,0
10,3,REWA,REWA,2,NHHE,1,0,0,0
10,3,REWA,REWA,2,REWA,1,0,0,0
10,3,REWA,REWA,2,EASP,1,1,0,0
10,3,REWA,REWA,2,BRTH,0,0,0,0
10,3,REWA,REWA,2,CRRO,1,0,0,0
10,3,REWA,REWA,2,PICU,1,0,0,0
7,3,SUFW,SUFW,2,WBSC,1,1,0,0
7,3,SUFW,SUFW,2,SUFW,1,0,0,0
7,3,SUFW,SUFW,2,NHHE,0,0,0,0
7,3,SUFW,SUFW,2,REWA,1,0,0,0
7,3,SUFW,SUFW,2,EASP,1,1,0,0
7,3,SUFW,SUFW,2,BRTH,1,1,0,0
7,3,SUFW,SUFW,2,CRRO,1,0,0,0
7,3,SUFW,SUFW,2,PICU,0,0,0,0
2,3,WBSC,WBSC,2,WBSC,1,0,0,1
2,3,WBSC,WBSC,2,SUFW,1,0,0,0
2,3,WBSC,WBSC,2,NHHE,0,0,0,0
2,3,WBSC,WBSC,2,REWA,1,0,0,0
2,3,WBSC,WBSC,2,EASP,1,0,0,0
2,3,WBSC,WBSC,2,BRTH,0,0,0,0
2,3,WBSC,WBSC,2,CRRO,1,0,0,0
2,3,WBSC,WBSC,2,PICU,1,1,0,1
6,3,NHHE,REWA,2,WBSC,1,0,0,1
6,3,NHHE,REWA,2,SUFW,1,0,1,0
6,3,NHHE,REWA,2,NHHE,1,1,0,0
6,3,NHHE,REWA,2,REWA,0,0,0,0
6,3,NHHE,REWA,2,EASP,1,0,0,0
6,3,NHHE,REWA,2,BRTH,0,0,0,0
6,3,NHHE,REWA,2,CRRO,0,0,0,0
6,3,NHHE,REWA,2,PICU,1,0,0,0
8,3,NHHE,SUFW,2,WBSC,0,0,0,0
8,3,NHHE,SUFW,2,SUFW,1,1,0,1
8,3,NHHE,SUFW,2,NHHE,0,0,0,0
